master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
s3_001_100,S3,001/100,ポケモン,草,パラス,C,D,
s3_002_100,S3,002/100,ポケモン,草,パラセクト,C,D,
s3_003_100,S3,003/100,ポケモン,草,マスキッパ,C,D,
s3_004_100,S3,004/100,ポケモン,草,ヤナップ,C,D,
s3_005_100,S3,005/100,ポケモン,草,ヤナッキー,U,D,
s3_006_100,S3,006/100,ポケモン,草,モクロー,C,D,
s3_007_100,S3,007/100,ポケモン,草,フクスロー,C,D,
s3_008_100,S3,008/100,ポケモン,草,ジュナイパー,R,D,
s3_009_100,S3,009/100,ポケモン,炎,ヘルガーV,RR,D,
s3_010_100,S3,010/100,ポケモン,炎,アチャモ,C,D,
s3_011_100,S3,011/100,ポケモン,炎,ワカシャモ,C,D,
s3_012_100,S3,012/100,ポケモン,炎,バシャーモ,R,D,
s3_013_100,S3,013/100,ポケモン,炎,バオップ,C,D,
s3_014_100,S3,014/100,ポケモン,炎,バオッキー,U,D,
s3_015_100,S3,015/100,ポケモン,炎,ガラルヒヒダルマ,U,D,
s3_016_100,S3,016/100,ポケモン,水,スイクン,R,D,
s3_017_100,S3,017/100,ポケモン,水,ジーランス,C,D,
s3_018_100,S3,018/100,ポケモン,水,ヒヤップ,C,D,
s3_019_100,S3,019/100,ポケモン,水,ヒヤッキー,U,D,
s3_020_100,S3,020/100,ポケモン,水,ガラルダルマッカ,C,D,
s3_021_100,S3,021/100,ポケモン,水,バニプッチ,C,D,
s3_022_100,S3,022/100,ポケモン,水,バニリッチ,C,D,
s3_023_100,S3,023/100,ポケモン,水,バイバニラ,U,D,
s3_024_100,S3,024/100,ポケモン,水,ヒドイデ,C,D,
s3_025_100,S3,025/100,ポケモン,水,ドヒドイデ,C,D,
s3_026_100,S3,026/100,ポケモン,水,カジリガメV,RR,D,
s3_027_100,S3,027/100,ポケモン,水,カジリガメVMAX,RRR,D,
s3_028_100,S3,028/100,ポケモン,水,ウオノラゴン,R,D,
s3_029_100,S3,029/100,ポケモン,水,ウオチルドン,U,D,
s3_030_100,S3,030/100,ポケモン,雷,ラクライ,C,D,
s3_031_100,S3,031/100,ポケモン,雷,ライボルト,U,D,
s3_032_100,S3,032/100,ポケモン,雷,カプ・コケコ,R,D,
s3_033_100,S3,033/100,ポケモン,雷,パッチラゴン,U,D,
s3_034_100,S3,034/100,ポケモン,雷,パッチルドン,R,D,
s3_035_100,S3,035/100,ポケモン,超,プリン,C,D,
s3_036_100,S3,036/100,ポケモン,超,プクリン,U,D,
s3_037_100,S3,037/100,ポケモン,超,ゴチム,C,D,
s3_038_100,S3,038/100,ポケモン,超,ゴチミル,C,D,
s3_039_100,S3,039/100,ポケモン,超,ゴチルゼル,U,D,
s3_040_100,S3,040/100,ポケモン,超,ゴビット,C,D,
s3_041_100,S3,041/100,ポケモン,超,ゴルーグ,U,D,
s3_042_100,S3,042/100,ポケモン,超,ミミッキュ,U,D,
s3_043_100,S3,043/100,ポケモン,超,ガラルサニゴーンV,RR,D,
s3_044_100,S3,044/100,ポケモン,闘,ナックラー,C,D,
s3_045_100,S3,045/100,ポケモン,闘,ビブラーバ,C,D,
s3_046_100,S3,046/100,ポケモン,闘,フライゴン,U,D,
s3_047_100,S3,047/100,ポケモン,闘,ヒポポタス,C,D,
s3_048_100,S3,048/100,ポケモン,闘,カバルドン,U,D,
s3_049_100,S3,049/100,ポケモン,闘,ドサイドンV,RR,D,
s3_050_100,S3,050/100,ポケモン,闘,ナゲツケサル,C,D,
s3_051_100,S3,051/100,ポケモン,悪,イトマル,C,D,
s3_052_100,S3,052/100,ポケモン,悪,アリアドス,U,D,
s3_053_100,S3,053/100,ポケモン,悪,クロバットV,RR,D,
s3_054_100,S3,054/100,ポケモン,悪,ガラルジグザグマ,C,D,
s3_055_100,S3,055/100,ポケモン,悪,ガラルマッスグマ,C,D,
s3_056_100,S3,056/100,ポケモン,悪,ガラルタチフサグマ,R,D,
s3_057_100,S3,057/100,ポケモン,悪,ズルッグ,C,D,
s3_058_100,S3,058/100,ポケモン,悪,ズルズキン,U,D,
s3_059_100,S3,059/100,ポケモン,悪,マーイーカ,C,D,
s3_060_100,S3,060/100,ポケモン,悪,カラマネロ,U,D,
s3_061_100,S3,061/100,ポケモン,悪,フーパ,R,D,
s3_062_100,S3,062/100,ポケモン,悪,クスネ,C,D,
s3_063_100,S3,063/100,ポケモン,悪,フォクスライ,U,D,
s3_064_100,S3,064/100,ポケモン,悪,ムゲンダイナV,RR,D,
s3_065_100,S3,065/100,ポケモン,悪,ムゲンダイナVMAX,RRR,D,
s3_066_100,S3,066/100,ポケモン,鋼,ハッサムV,RR,D,
s3_067_100,S3,067/100,ポケモン,鋼,ハッサムVMAX,RRR,D,
s3_068_100,S3,068/100,ポケモン,鋼,エアームド,C,D,
s3_069_100,S3,069/100,ポケモン,鋼,ギアル,C,D,
s3_070_100,S3,070/100,ポケモン,鋼,ギギアル,C,D,
s3_071_100,S3,071/100,ポケモン,鋼,ギギギアル,U,D,
s3_072_100,S3,072/100,ポケモン,鋼,ゾウドウ,C,D,
s3_073_100,S3,073/100,ポケモン,鋼,ダイオウドウ,R,D,
s3_074_100,S3,074/100,ポケモン,鋼,ガルーラ,R,D,
s3_075_100,S3,075/100,ポケモン,無,ノコッチ,C,D,
s3_076_100,S3,076/100,ポケモン,無,ヒメグマ,C,D,
s3_077_100,S3,077/100,ポケモン,無,リングマ,C,D,
s3_078_100,S3,078/100,ポケモン,無,エネコ,C,D,
s3_079_100,S3,079/100,ポケモン,無,エネコロロ,U,D,
s3_080_100,S3,080/100,ポケモン,無,ボーマンダV,RR,D,
s3_081_100,S3,081/100,ポケモン,無,ボーマンダVMAX,RRR,D,
s3_082_100,S3,082/100,ポケモン,無,ムックル,C,D,
s3_083_100,S3,083/100,ポケモン,無,ムクバード,C,D,
s3_084_100,S3,084/100,ポケモン,無,ムクホーク,U,D,
s3_085_100,S3,085/100,ポケモン,無,コアルヒー,C,D,
s3_086_100,S3,086/100,ポケモン,無,スワンナ,U,D,
s3_087_100,S3,087/100,ポケモン,無,ホシガリス,C,D,
s3_088_100,S3,088/100,ポケモン,無,ヨクバリス,U,D,
s3_089_100,S3,089/100,トレーナーズ,グッズ,おうえんYホーン,U,D,
s3_090_100,S3,090/100,トレーナーズ,グッズ,ターボパッチ,U,D,
s3_091_100,S3,091/100,トレーナーズ,グッズ,めずらしい化石,C,D,
s3_092_100,S3,092/100,トレーナーズ,ポケモンのどうぐ,タフネスマント,U,D,
s3_093_100,S3,093/100,トレーナーズ,ポケモンのどうぐ,もくもくスモーク,U,D,
s3_094_100,S3,094/100,トレーナーズ,サポート,とりつかい,U,D,
s3_095_100,S3,095/100,トレーナーズ,サポート,ネズ,U,D,
s3_096_100,S3,096/100,トレーナーズ,サポート,ローズ,U,D,
s3_097_100,S3,097/100,トレーナーズ,スタジアム,スパイクタウン,U,D,
s3_098_100,S3,098/100,トレーナーズ,スタジアム,ローズタワー,U,D,
s3_099_100,S3,099/100,エネルギー,悪,ハイド悪エネルギー,U,D,
s3_100_100,S3,100/100,エネルギー,無,パワフル無色エネルギー,U,D,
s3_101_100,S3,101/100,ポケモン,炎,ヘルガーV,SR,D,
s3_102_100,S3,102/100,ポケモン,水,カジリガメV,SR,D,
s3_103_100,S3,103/100,ポケモン,超,ガラルサニゴーンV,SR,D,
s3_104_100,S3,104/100,ポケモン,闘,ドサイドンV,SR,D,
s3_105_100,S3,105/100,ポケモン,悪,クロバットV,SR,D,
s3_106_100,S3,106/100,ポケモン,悪,ムゲンダイナV,SR,D,
s3_107_100,S3,107/100,ポケモン,鋼,ハッサムV,SR,D,
s3_108_100,S3,108/100,ポケモン,無,ボーマンダV,SR,D,
s3_109_100,S3,109/100,トレーナーズ,サポート,ネズ,SR,D,
s3_110_100,S3,110/100,トレーナーズ,サポート,ローズ,SR,D,
s3_111_100,S3,111/100,ポケモン,水,カジリガメVMAX,HR,D,
s3_112_100,S3,112/100,ポケモン,悪,ムゲンダイナVMAX,HR,D,
s3_113_100,S3,113/100,ポケモン,鋼,ハッサムVMAX,HR,D,
s3_114_100,S3,114/100,ポケモン,無,ボーマンダVMAX,HR,D,
s3_115_100,S3,115/100,トレーナーズ,サポート,ネズ,HR,D,
s3_116_100,S3,116/100,トレーナーズ,サポート,ローズ,HR,D,
s3_117_100,S3,117/100,ポケモン,闘,セキタンザン,UR,D,
s3_118_100,S3,118/100,トレーナーズ,グッズ,ターボパッチ,UR,D,
s3_119_100,S3,119/100,エネルギー,無,キャプチャーエネルギー,UR,D,
