master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
s1w_001_060,S1W,001/060,ポケモン,草,ロゼリア,C,D,
s1w_002_060,S1W,002/060,ポケモン,草,ロズレイド,U,D,
s1w_003_060,S1W,003/060,ポケモン,草,マラカッチ,C,D,
s1w_004_060,S1W,004/060,ポケモン,草,ダダリンV,RR,D,
s1w_005_060,S1W,005/060,ポケモン,草,サルノリ,C,D,
s1w_006_060,S1W,006/060,ポケモン,草,バチンキー,U,D,
s1w_007_060,S1W,007/060,ポケモン,草,ゴリランダー,R,D,
s1w_008_060,S1W,008/060,ポケモン,炎,ヤトウモリ,C,D,
s1w_009_060,S1W,009/060,ポケモン,炎,エンニュート,C,D,
s1w_010_060,S1W,010/060,ポケモン,炎,ヤクデ,C,D,
s1w_011_060,S1W,011/060,ポケモン,炎,マルヤクデ,U,D,
s1w_012_060,S1W,012/060,ポケモン,水,クラブ,C,D,
s1w_013_060,S1W,013/060,ポケモン,水,キングラー,C,D,
s1w_014_060,S1W,014/060,ポケモン,水,ラプラスV,RR,D,
s1w_015_060,S1W,015/060,ポケモン,水,ラプラスVMAX,RRR,D,
s1w_016_060,S1W,016/060,ポケモン,水,マンタイン,C,D,
s1w_017_060,S1W,017/060,ポケモン,水,メッソン,C,D,
s1w_018_060,S1W,018/060,ポケモン,水,ジメレオン,U,D,
s1w_019_060,S1W,019/060,ポケモン,水,インテレオン,R,D,
s1w_020_060,S1W,020/060,ポケモン,雷,ワンパチ,C,D,
s1w_021_060,S1W,021/060,ポケモン,雷,パルスワン,R,D,
s1w_022_060,S1W,022/060,ポケモン,雷,バチンウニ,C,D,
s1w_023_060,S1W,023/060,ポケモン,超,ゴース,C,D,
s1w_024_060,S1W,024/060,ポケモン,超,ゴースト,U,D,
s1w_025_060,S1W,025/060,ポケモン,超,ゲンガー,R,D,
s1w_026_060,S1W,026/060,ポケモン,超,ソーナンスV,RR,D,
s1w_027_060,S1W,027/060,ポケモン,超,ヤバチャ,C,D,
s1w_028_060,S1W,028/060,ポケモン,超,ポットデス,U,D,
s1w_029_060,S1W,029/060,ポケモン,闘,ウソッキー,C,D,
s1w_030_060,S1W,030/060,ポケモン,闘,ヤジロン,C,D,
s1w_031_060,S1W,031/060,ポケモン,闘,ネンドール,U,D,
s1w_032_060,S1W,032/060,ポケモン,闘,タタッコ,C,D,
s1w_033_060,S1W,033/060,ポケモン,闘,オトスパス,U,D,
s1w_034_060,S1W,034/060,ポケモン,闘,イシヘンジンV,RR,D,
s1w_035_060,S1W,035/060,ポケモン,闘,イシヘンジンVMAX,RRR,D,
s1w_036_060,S1W,036/060,ポケモン,悪,グレッグル,C,D,
s1w_037_060,S1W,037/060,ポケモン,悪,ドクロッグ,R,D,
s1w_038_060,S1W,038/060,ポケモン,悪,クスネ,C,D,
s1w_039_060,S1W,039/060,ポケモン,悪,フォクスライ,U,D,
s1w_040_060,S1W,040/060,ポケモン,鋼,ガラルニャース,C,D,
s1w_041_060,S1W,041/060,ポケモン,鋼,ガラルニャイキング,R,D,
s1w_042_060,S1W,042/060,ポケモン,鋼,テッシード,C,D,
s1w_043_060,S1W,043/060,ポケモン,鋼,ナットレイ,C,D,
s1w_044_060,S1W,044/060,ポケモン,鋼,ガラルマッギョ,C,D,
s1w_045_060,S1W,045/060,ポケモン,鋼,アーマーガア,U,D,
s1w_046_060,S1W,046/060,ポケモン,鋼,ザシアンV,RR,D,
s1w_047_060,S1W,047/060,ポケモン,無,チラーミィ,C,D,
s1w_048_060,S1W,048/060,ポケモン,無,チラチーノ,U,D,
s1w_049_060,S1W,049/060,ポケモン,無,ココガラ,C,D,
s1w_050_060,S1W,050/060,ポケモン,無,アオガラス,C,D,
s1w_051_060,S1W,051/060,ポケモン,無,ウッウV,RR,D,
s1w_052_060,S1W,052/060,トレーナーズ,グッズ,しんかのおこう,U,D,
s1w_053_060,S1W,053/060,トレーナーズ,グッズ,すごいきずぐすり,U,D,
s1w_054_060,S1W,054/060,トレーナーズ,グッズ,ふつうのつりざお,U,D,
s1w_055_060,S1W,055/060,トレーナーズ,グッズ,ロトムじてんしゃ,U,D,
